eval_id,source_filename,source_index,text,normalized_text,language,gender,style,speaker_label,reference_audio,predicted_audio,asr_transcription,normalized_asr_transcription,wer_percent,cer_percent,total_latency_seconds,total_latency_definition,reference_duration_seconds,predicted_duration_seconds,generation_status,generation_error,asr_status,asr_error,reference_audio_sha256,predicted_audio_sha256
0,MAR_M_WIKI_02321,760,"कंवर तलाव पक्षी अभयारण्य आणि नागी धरण पक्षी अभयारण्यासारख्या पक्षी अभयारण्यात, बिहार, अनेक प्रजातींच्या स्थलांतरित पक्ष्यांना आमंत्रित करते.",कंवर तलाव पक्षी अभयारण्य आणि नागी धरण पक्षी अभयारण्यासारख्या पक्षी अभयारण्यात बिहार अनेक प्रजातींच्या स्थलांतरित पक्ष्यांना आमंत्रित करते,Marathi,Male,WIKI,MarathiRasaMale,reference_audio/0000.wav,audio/0000.wav,"कवर तलाव पक्षी, अभयारण्य अणि नागी धरण पक्षी, अभयारण्यासार्ख्या पक्षी, अभयारण्यात, बिहार अनेक प्रजातींचा स्थलांतरित पक्षान्ना आमंतरित करते।",कवर तलाव पक्षी अभयारण्य अणि नागी धरण पक्षी अभयारण्यासार्ख्या पक्षी अभयारण्यात बिहार अनेक प्रजातींचा स्थलांतरित पक्षान्ना आमंतरित करते,33.3333,7.2993,80.021795,wall time until the non-streaming local TTS call returned the full waveform,12.065,12.970667,ok,,ok,,98439b951d3800e7cf758879dd42fec1a28881d1e8fdc1bb590b12b6c55b4eec,036e21a0ad320f478692d5c2b830502d8960dd325535f6ff5992a8b4a7187ff2
1,MAR_F_NEWS_00205,1927,राज्यात सर्वत्र विठ्ठलमंदिरामधे भक्तांच्या दर्शनासाठी रांगा लागल्या आहेत .,राज्यात सर्वत्र विठ्ठलमंदिरामधे भक्तांच्या दर्शनासाठी रांगा लागल्या आहेत,Marathi,Female,NEWS,MarathiRasaFemale,reference_audio/0001.wav,audio/0001.wav,राज्यात सर्वत्र विठल मंदिरा मधे भकतांचा गर्शना साथी रांगा लागले आहेत।,राज्यात सर्वत्र विठल मंदिरा मधे भकतांचा गर्शना साथी रांगा लागले आहेत,87.5,18.0556,33.220544,wall time until the non-streaming local TTS call returned the full waveform,5.913,5.376,ok,,ok,,f1d03dac7711a13e86724cb8863522b7c8e12effd0685fd4eded1be94adb6d53,e53097497514623df3d6da0d7a7baa8f1be14b487c352f5d9cf94c4e3a729321
2,MAR_F_NAMES_02585,2850,"टाटा इन्स्टिट्यूट ऑफ फंडामेंटल रिसर्च, टीआयएफआर",टाटा इन्स्टिट्यूट ऑफ फंडामेंटल रिसर्च टीआयएफआर,Marathi,Female,PROPER NOUN,MarathiRasaFemale,reference_audio/0002.wav,audio/0002.wav,Tata Institute of Fundamental Research TIFR,tata institute of fundamental research tifr,100.0,93.4783,34.77655,wall time until the non-streaming local TTS call returned the full waveform,5.195,5.632,ok,,ok,,42fe6351c7595854dc3c6a4c85fdc0d8fa82fd805d8da47dc7b190888bf5734d,b862690dbf249f58ed3bde7abc0a05812e6a231a384e151f96a78eba57ce8fef
3,MAR_M_NAMES_01916,412,रेवा डॉक्टर आंबेडकर नगर एक्स्प्रेस,रेवा डॉक्टर आंबेडकर नगर एक्स्प्रेस,Marathi,Male,PROPER NOUN,MarathiRasaMale,reference_audio/0003.wav,audio/0003.wav,रेवा डॉक्टर अम्बेडकर नगर एक्स्प्रेस,रेवा डॉक्टर अम्बेडकर नगर एक्स्प्रेस,20.0,8.8235,24.441233,wall time until the non-streaming local TTS call returned the full waveform,3.029,3.925333,ok,,ok,,71ad264f4a63d1836fa5fd57dcabfd4a99bd06aaf4f358396149904ff9b6e8c6,a4d165695f533b4ed3403ea0eaa445375683e2b11e41d8baed3163c19098699b
4,MAR_F_BOOK_00716,1630,आईने एकेक जर्दाळू व दोन दोन वड्या दिल्या. माझा धाकटा भाऊ 'दोन जर्दाळू पाहिजेत' म्हणून हट्ट धरून बसला,आईने एकेक जर्दाळू व दोन दोन वड्या दिल्या माझा धाकटा भाऊ दोन जर्दाळू पाहिजेत म्हणून हट्ट धरून बसला,Marathi,Female,BOOK,MarathiRasaFemale,reference_audio/0004.wav,audio/0004.wav,आई ने एक एक जर्दालू वो दोन दोन वड्या दिल्या माजा धक्टा भाव झाल,आई ने एक एक जर्दालू वो दोन दोन वड्या दिल्या माजा धक्टा भाव झाल,88.8889,49.4845,191.277885,wall time until the non-streaming local TTS call returned the full waveform,10.14,30.72,ok,,ok,,65e926929ac210d96a5e68dc56d9e55c46209a087ddc7d1969cf8a9dc4887a98,0325792b5103dfee74616747b97c057a7397dc6f089d263694d4158654638282
5,MAR_M_BOOK_01014,1043,"त्यातील ब्राह्मणजातीवरील टीका वाचून अनेक ब्राह्मण माझ्यावर फार नाराज झाले. म्हणतो, कुणी मला फक्त पिढीजात भिक्षुकीचाच व्यवसाय चालू ठेवण्याचा सल्ला देतो",त्यातील ब्राह्मणजातीवरील टीका वाचून अनेक ब्राह्मण माझ्यावर फार नाराज झाले म्हणतो कुणी मला फक्त पिढीजात भिक्षुकीचाच व्यवसाय चालू ठेवण्याचा सल्ला देतो,Marathi,Male,BOOK,MarathiRasaMale,reference_audio/0005.wav,audio/0005.wav,"त्यातील ब्राम्हन जाती वरील टीका वाचून अनेक ब्राम्हन माझावर फार नाराद जाले। मनतो, कुणी माला फक्त पिढी जात भिक्षुकीचाच वेवसाज चालू ठेवनेचा सल्ला देतो।",त्यातील ब्राम्हन जाती वरील टीका वाचून अनेक ब्राम्हन माझावर फार नाराद जाले मनतो कुणी माला फक्त पिढी जात भिक्षुकीचाच वेवसाज चालू ठेवनेचा सल्ला देतो,61.9048,16.2162,90.122169,wall time until the non-streaming local TTS call returned the full waveform,11.098,14.506667,ok,,ok,,22426dbbd1878a98accb760ee02a0a5837eea10685c11de04bfdb75580905f91,1f4d76cca69e2a2282449920ee9726a8c39f6f2cd90660b3bdc857d857ed8911
6,MAR_F_WIKI_01036,2693,"आयषबौम म्हणाले की, ते सौदी अरेबियाचा ध्वज असलेल्या सर्व बिअरच्या बाटल्या काढून टाकण्याचा प्रयत्न करत आहेत.",आयषबौम म्हणाले की ते सौदी अरेबियाचा ध्वज असलेल्या सर्व बिअरच्या बाटल्या काढून टाकण्याचा प्रयत्न करत आहेत,Marathi,Female,WIKI,MarathiRasaFemale,reference_audio/0006.wav,audio/0006.wav,"आयेश बवम मनाले की, ते सवुदी अरेबियाचा ध्वज असले या सर्व बियरचा बाटलया काड़ुन ताकणयाचा प्रेत्म करता हेत।",आयेश बवम मनाले की ते सवुदी अरेबियाचा ध्वज असले या सर्व बियरचा बाटलया काड़ुन ताकणयाचा प्रेत्म करता हेत,81.25,23.0769,65.218673,wall time until the non-streaming local TTS call returned the full waveform,8.844,10.581333,ok,,ok,,5dd032b5b06540f84b800f9ef72aa85b135029e4cd1884a9f11fc1009c0bcbc8,58133de77f049f48d103f17efa35488049997fe9093cb9b5d6861a8298da1dd9
7,MAR_F_WIKI_01207,1930,"तो खराब होत आहे, त्याच्यामुळे कसं आहे की रासायनिक जंतुनाशकांचा फवारा करणं आता थांबवून दिलेलंच बरं, कारण शारीरिक व्याधी त्याच्यामुळे फवारणीच्यामुळे त्याच्या लोकांच्या वाढलेल्या आहेत, कॅन्सरचे प्रमाण वाढलेले आहे, किडनीचे प्रमाण वाढलेले आहे, त्याच्यामुळे पालक भाज्यामधून जे फवारणीचे जास्तीत जास्त ऑबझर्व्ह करते पालक टमाटे",तो खराब होत आहे त्याच्यामुळे कसं आहे की रासायनिक जंतुनाशकांचा फवारा करणं आता थांबवून दिलेलंच बरं कारण शारीरिक व्याधी त्याच्यामुळे फवारणीच्यामुळे त्याच्या लोकांच्या वाढलेल्या आहेत कॅन्सरचे प्रमाण वाढलेले आहे किडनीचे प्रमाण वाढलेले आहे त्याच्यामुळे पालक भाज्यामधून जे फवारणीचे जास्तीत जास्त ऑबझर्व्ह करते पालक टमाटे,Marathi,Female,WIKI,MarathiRasaFemale,reference_audio/0007.wav,audio/0007.wav,"तो खराब होता है, त्याचा मुले कस आहे की रासायनिक जन्तुना शकांचा फवारा करण अता ठांबवुन दिलेलाच बर कारण शारिरिक व्याधी त्याचा मुले फवारनीचा मुले त्याचा लोकांचा वाडलेले आहेत। कैंसर से प्रमाण वाडलेले आहे, किडनी से प्रमाण वाडलेले आहे, त्याचा मुले पालक भाजा मदून जे फवारनीचे जास्ती जास्त ओब्लेले अब्जर्व करते पालक टमाटे",तो खराब होता है त्याचा मुले कस आहे की रासायनिक जन्तुना शकांचा फवारा करण अता ठांबवुन दिलेलाच बर कारण शारिरिक व्याधी त्याचा मुले फवारनीचा मुले त्याचा लोकांचा वाडलेले आहेत कैंसर से प्रमाण वाडलेले आहे किडनी से प्रमाण वाडलेले आहे त्याचा मुले पालक भाजा मदून जे फवारनीचे जास्ती जास्त ओब्लेले अब्जर्व करते पालक टमाटे,77.2727,21.0863,172.116422,wall time until the non-streaming local TTS call returned the full waveform,26.337,27.904,ok,,ok,,1dae229046a5f84215b738c68edb52cb9eb666c62919b17d324176823828fea4,f6310836a8f2ea367c2771d1f023b8b7acb849688904657e361ba3694a09a04d
8,MAR_F_CONV_01982,1982,बरं झालं आज इथं मी तुला भेटलो.,बरं झालं आज इथं मी तुला भेटलो,Marathi,Female,CONV,MarathiRasaFemale,reference_audio/0008.wav,audio/0008.wav,बरजाल आज इथामी तुला भेटलो,बरजाल आज इथामी तुला भेटलो,57.1429,20.6897,21.259229,wall time until the non-streaming local TTS call returned the full waveform,2.923,3.413333,ok,,ok,,2ac52f7ab1dff024df2df5297981c76180abc02d2c4cab300b4502fbcb871677,ad2a5983b3db73eabaee08bf50a1a1c672f3fc2ab7e6fb0f2033e9f7a6b4a072
9,MAR_F_WIKI_00057,1522,वन गुडऐवजी सिग्नोरवेयर मिळाला.,वन गुडऐवजी सिग्नोरवेयर मिळाला,Marathi,Female,WIKI,MarathiRasaFemale,reference_audio/0009.wav,audio/0009.wav,वन गुड आईवजी सिग्नोर वेल मिलाला,वन गुड आईवजी सिग्नोर वेल मिलाला,125.0,24.1379,26.087249,wall time until the non-streaming local TTS call returned the full waveform,3.203,4.181333,ok,,ok,,e2776a5a8595c4885f36e16436cbd125d238ad70771de049e7a4b90f718dc351,f3c840d846fd9b0f32f6e4a598144729a6333793608ebb3e2830183504987722
