eval_id,filename,reference,reference_normalized,hypothesis,hypothesis_normalized,asr_model,asr_requested_revision,asr_resolved_revision,asr_signature,asr_status,asr_error,evaluation_note,generation_status,generation_signature,wav_sha256,wer_percent,cer_percent
0,MAR_M_WIKI_02321,"कंवर तलाव पक्षी अभयारण्य आणि नागी धरण पक्षी अभयारण्यासारख्या पक्षी अभयारण्यात, बिहार, अनेक प्रजातींच्या स्थलांतरित पक्ष्यांना आमंत्रित करते.",कंवर तलाव पक्षी अभयारण्य आणि नागी धरण पक्षी अभयारण्यासारख्या पक्षी अभयारण्यात बिहार अनेक प्रजातींच्या स्थलांतरित पक्ष्यांना आमंत्रित करते,"कवर तलाव पक्षी, अभयारण्य अणि नागी धरण पक्षी, अभयारण्यासार्ख्या पक्षी, अभयारण्यात, बिहार अनेक प्रजातींचा स्थलांतरित पक्षान्ना आमंतरित करते।",कवर तलाव पक्षी अभयारण्य अणि नागी धरण पक्षी अभयारण्यासार्ख्या पक्षी अभयारण्यात बिहार अनेक प्रजातींचा स्थलांतरित पक्षान्ना आमंतरित करते,openai/whisper-large-v3-turbo,main,41f01f3fe87f28c78e2fbf8b568835947dd65ed9,91e84f3a5504dcfbbc4edc70521dec3c205dc86a78a3692d4e17b67bf0e4c7ff,ok,,,ok,212e28188a7d36941019d066f74292491fa8fd5740d23ca17b2872a506c8ee32,036e21a0ad320f478692d5c2b830502d8960dd325535f6ff5992a8b4a7187ff2,33.3333,7.2993
1,MAR_F_NEWS_00205,राज्यात सर्वत्र विठ्ठलमंदिरामधे भक्तांच्या दर्शनासाठी रांगा लागल्या आहेत .,राज्यात सर्वत्र विठ्ठलमंदिरामधे भक्तांच्या दर्शनासाठी रांगा लागल्या आहेत,राज्यात सर्वत्र विठल मंदिरा मधे भकतांचा गर्शना साथी रांगा लागले आहेत।,राज्यात सर्वत्र विठल मंदिरा मधे भकतांचा गर्शना साथी रांगा लागले आहेत,openai/whisper-large-v3-turbo,main,41f01f3fe87f28c78e2fbf8b568835947dd65ed9,91e84f3a5504dcfbbc4edc70521dec3c205dc86a78a3692d4e17b67bf0e4c7ff,ok,,,ok,212e28188a7d36941019d066f74292491fa8fd5740d23ca17b2872a506c8ee32,e53097497514623df3d6da0d7a7baa8f1be14b487c352f5d9cf94c4e3a729321,87.5,18.0556
2,MAR_F_NAMES_02585,"टाटा इन्स्टिट्यूट ऑफ फंडामेंटल रिसर्च, टीआयएफआर",टाटा इन्स्टिट्यूट ऑफ फंडामेंटल रिसर्च टीआयएफआर,Tata Institute of Fundamental Research TIFR,tata institute of fundamental research tifr,openai/whisper-large-v3-turbo,main,41f01f3fe87f28c78e2fbf8b568835947dd65ed9,91e84f3a5504dcfbbc4edc70521dec3c205dc86a78a3692d4e17b67bf0e4c7ff,ok,,,ok,212e28188a7d36941019d066f74292491fa8fd5740d23ca17b2872a506c8ee32,b862690dbf249f58ed3bde7abc0a05812e6a231a384e151f96a78eba57ce8fef,100.0,93.4783
3,MAR_M_NAMES_01916,रेवा डॉक्टर आंबेडकर नगर एक्स्प्रेस,रेवा डॉक्टर आंबेडकर नगर एक्स्प्रेस,रेवा डॉक्टर अम्बेडकर नगर एक्स्प्रेस,रेवा डॉक्टर अम्बेडकर नगर एक्स्प्रेस,openai/whisper-large-v3-turbo,main,41f01f3fe87f28c78e2fbf8b568835947dd65ed9,91e84f3a5504dcfbbc4edc70521dec3c205dc86a78a3692d4e17b67bf0e4c7ff,ok,,,ok,212e28188a7d36941019d066f74292491fa8fd5740d23ca17b2872a506c8ee32,a4d165695f533b4ed3403ea0eaa445375683e2b11e41d8baed3163c19098699b,20.0,8.8235
4,MAR_F_BOOK_00716,आईने एकेक जर्दाळू व दोन दोन वड्या दिल्या. माझा धाकटा भाऊ 'दोन जर्दाळू पाहिजेत' म्हणून हट्ट धरून बसला,आईने एकेक जर्दाळू व दोन दोन वड्या दिल्या माझा धाकटा भाऊ दोन जर्दाळू पाहिजेत म्हणून हट्ट धरून बसला,आई ने एक एक जर्दालू वो दोन दोन वड्या दिल्या माजा धक्टा भाव झाल,आई ने एक एक जर्दालू वो दोन दोन वड्या दिल्या माजा धक्टा भाव झाल,openai/whisper-large-v3-turbo,main,41f01f3fe87f28c78e2fbf8b568835947dd65ed9,91e84f3a5504dcfbbc4edc70521dec3c205dc86a78a3692d4e17b67bf0e4c7ff,ok,,,ok,212e28188a7d36941019d066f74292491fa8fd5740d23ca17b2872a506c8ee32,0325792b5103dfee74616747b97c057a7397dc6f089d263694d4158654638282,88.8889,49.4845
5,MAR_M_BOOK_01014,"त्यातील ब्राह्मणजातीवरील टीका वाचून अनेक ब्राह्मण माझ्यावर फार नाराज झाले. म्हणतो, कुणी मला फक्त पिढीजात भिक्षुकीचाच व्यवसाय चालू ठेवण्याचा सल्ला देतो",त्यातील ब्राह्मणजातीवरील टीका वाचून अनेक ब्राह्मण माझ्यावर फार नाराज झाले म्हणतो कुणी मला फक्त पिढीजात भिक्षुकीचाच व्यवसाय चालू ठेवण्याचा सल्ला देतो,"त्यातील ब्राम्हन जाती वरील टीका वाचून अनेक ब्राम्हन माझावर फार नाराद जाले। मनतो, कुणी माला फक्त पिढी जात भिक्षुकीचाच वेवसाज चालू ठेवनेचा सल्ला देतो।",त्यातील ब्राम्हन जाती वरील टीका वाचून अनेक ब्राम्हन माझावर फार नाराद जाले मनतो कुणी माला फक्त पिढी जात भिक्षुकीचाच वेवसाज चालू ठेवनेचा सल्ला देतो,openai/whisper-large-v3-turbo,main,41f01f3fe87f28c78e2fbf8b568835947dd65ed9,91e84f3a5504dcfbbc4edc70521dec3c205dc86a78a3692d4e17b67bf0e4c7ff,ok,,,ok,212e28188a7d36941019d066f74292491fa8fd5740d23ca17b2872a506c8ee32,1f4d76cca69e2a2282449920ee9726a8c39f6f2cd90660b3bdc857d857ed8911,61.9048,16.2162
6,MAR_F_WIKI_01036,"आयषबौम म्हणाले की, ते सौदी अरेबियाचा ध्वज असलेल्या सर्व बिअरच्या बाटल्या काढून टाकण्याचा प्रयत्न करत आहेत.",आयषबौम म्हणाले की ते सौदी अरेबियाचा ध्वज असलेल्या सर्व बिअरच्या बाटल्या काढून टाकण्याचा प्रयत्न करत आहेत,"आयेश बवम मनाले की, ते सवुदी अरेबियाचा ध्वज असले या सर्व बियरचा बाटलया काड़ुन ताकणयाचा प्रेत्म करता हेत।",आयेश बवम मनाले की ते सवुदी अरेबियाचा ध्वज असले या सर्व बियरचा बाटलया काड़ुन ताकणयाचा प्रेत्म करता हेत,openai/whisper-large-v3-turbo,main,41f01f3fe87f28c78e2fbf8b568835947dd65ed9,91e84f3a5504dcfbbc4edc70521dec3c205dc86a78a3692d4e17b67bf0e4c7ff,ok,,,ok,212e28188a7d36941019d066f74292491fa8fd5740d23ca17b2872a506c8ee32,58133de77f049f48d103f17efa35488049997fe9093cb9b5d6861a8298da1dd9,81.25,23.0769
7,MAR_F_WIKI_01207,"तो खराब होत आहे, त्याच्यामुळे कसं आहे की रासायनिक जंतुनाशकांचा फवारा करणं आता थांबवून दिलेलंच बरं, कारण शारीरिक व्याधी त्याच्यामुळे फवारणीच्यामुळे त्याच्या लोकांच्या वाढलेल्या आहेत, कॅन्सरचे प्रमाण वाढलेले आहे, किडनीचे प्रमाण वाढलेले आहे, त्याच्यामुळे पालक भाज्यामधून जे फवारणीचे जास्तीत जास्त ऑबझर्व्ह करते पालक टमाटे",तो खराब होत आहे त्याच्यामुळे कसं आहे की रासायनिक जंतुनाशकांचा फवारा करणं आता थांबवून दिलेलंच बरं कारण शारीरिक व्याधी त्याच्यामुळे फवारणीच्यामुळे त्याच्या लोकांच्या वाढलेल्या आहेत कॅन्सरचे प्रमाण वाढलेले आहे किडनीचे प्रमाण वाढलेले आहे त्याच्यामुळे पालक भाज्यामधून जे फवारणीचे जास्तीत जास्त ऑबझर्व्ह करते पालक टमाटे,"तो खराब होता है, त्याचा मुले कस आहे की रासायनिक जन्तुना शकांचा फवारा करण अता ठांबवुन दिलेलाच बर कारण शारिरिक व्याधी त्याचा मुले फवारनीचा मुले त्याचा लोकांचा वाडलेले आहेत। कैंसर से प्रमाण वाडलेले आहे, किडनी से प्रमाण वाडलेले आहे, त्याचा मुले पालक भाजा मदून जे फवारनीचे जास्ती जास्त ओब्लेले अब्जर्व करते पालक टमाटे",तो खराब होता है त्याचा मुले कस आहे की रासायनिक जन्तुना शकांचा फवारा करण अता ठांबवुन दिलेलाच बर कारण शारिरिक व्याधी त्याचा मुले फवारनीचा मुले त्याचा लोकांचा वाडलेले आहेत कैंसर से प्रमाण वाडलेले आहे किडनी से प्रमाण वाडलेले आहे त्याचा मुले पालक भाजा मदून जे फवारनीचे जास्ती जास्त ओब्लेले अब्जर्व करते पालक टमाटे,openai/whisper-large-v3-turbo,main,41f01f3fe87f28c78e2fbf8b568835947dd65ed9,91e84f3a5504dcfbbc4edc70521dec3c205dc86a78a3692d4e17b67bf0e4c7ff,ok,,,ok,212e28188a7d36941019d066f74292491fa8fd5740d23ca17b2872a506c8ee32,f6310836a8f2ea367c2771d1f023b8b7acb849688904657e361ba3694a09a04d,77.2727,21.0863
8,MAR_F_CONV_01982,बरं झालं आज इथं मी तुला भेटलो.,बरं झालं आज इथं मी तुला भेटलो,बरजाल आज इथामी तुला भेटलो,बरजाल आज इथामी तुला भेटलो,openai/whisper-large-v3-turbo,main,41f01f3fe87f28c78e2fbf8b568835947dd65ed9,91e84f3a5504dcfbbc4edc70521dec3c205dc86a78a3692d4e17b67bf0e4c7ff,ok,,,ok,212e28188a7d36941019d066f74292491fa8fd5740d23ca17b2872a506c8ee32,ad2a5983b3db73eabaee08bf50a1a1c672f3fc2ab7e6fb0f2033e9f7a6b4a072,57.1429,20.6897
9,MAR_F_WIKI_00057,वन गुडऐवजी सिग्नोरवेयर मिळाला.,वन गुडऐवजी सिग्नोरवेयर मिळाला,वन गुड आईवजी सिग्नोर वेल मिलाला,वन गुड आईवजी सिग्नोर वेल मिलाला,openai/whisper-large-v3-turbo,main,41f01f3fe87f28c78e2fbf8b568835947dd65ed9,91e84f3a5504dcfbbc4edc70521dec3c205dc86a78a3692d4e17b67bf0e4c7ff,ok,,,ok,212e28188a7d36941019d066f74292491fa8fd5740d23ca17b2872a506c8ee32,f3c840d846fd9b0f32f6e4a598144729a6333793608ebb3e2830183504987722,125.0,24.1379
