source_index,filename,text,language,gender,style,source_duration_seconds,speaker_label,eval_id
760,MAR_M_WIKI_02321,"कंवर तलाव पक्षी अभयारण्य आणि नागी धरण पक्षी अभयारण्यासारख्या पक्षी अभयारण्यात, बिहार, अनेक प्रजातींच्या स्थलांतरित पक्ष्यांना आमंत्रित करते.",Marathi,Male,WIKI,12.065,MarathiRasaMale,0
1927,MAR_F_NEWS_00205,राज्यात सर्वत्र विठ्ठलमंदिरामधे भक्तांच्या दर्शनासाठी रांगा लागल्या आहेत .,Marathi,Female,NEWS,5.913,MarathiRasaFemale,1
2850,MAR_F_NAMES_02585,"टाटा इन्स्टिट्यूट ऑफ फंडामेंटल रिसर्च, टीआयएफआर",Marathi,Female,PROPER NOUN,5.195,MarathiRasaFemale,2
412,MAR_M_NAMES_01916,रेवा डॉक्टर आंबेडकर नगर एक्स्प्रेस,Marathi,Male,PROPER NOUN,3.029,MarathiRasaMale,3
1630,MAR_F_BOOK_00716,आईने एकेक जर्दाळू व दोन दोन वड्या दिल्या. माझा धाकटा भाऊ 'दोन जर्दाळू पाहिजेत' म्हणून हट्ट धरून बसला,Marathi,Female,BOOK,10.14,MarathiRasaFemale,4
1043,MAR_M_BOOK_01014,"त्यातील ब्राह्मणजातीवरील टीका वाचून अनेक ब्राह्मण माझ्यावर फार नाराज झाले. म्हणतो, कुणी मला फक्त पिढीजात भिक्षुकीचाच व्यवसाय चालू ठेवण्याचा सल्ला देतो",Marathi,Male,BOOK,11.098,MarathiRasaMale,5
2693,MAR_F_WIKI_01036,"आयषबौम म्हणाले की, ते सौदी अरेबियाचा ध्वज असलेल्या सर्व बिअरच्या बाटल्या काढून टाकण्याचा प्रयत्न करत आहेत.",Marathi,Female,WIKI,8.844,MarathiRasaFemale,6
1930,MAR_F_WIKI_01207,"तो खराब होत आहे, त्याच्यामुळे कसं आहे की रासायनिक जंतुनाशकांचा फवारा करणं आता थांबवून दिलेलंच बरं, कारण शारीरिक व्याधी त्याच्यामुळे फवारणीच्यामुळे त्याच्या लोकांच्या वाढलेल्या आहेत, कॅन्सरचे प्रमाण वाढलेले आहे, किडनीचे प्रमाण वाढलेले आहे, त्याच्यामुळे पालक भाज्यामधून जे फवारणीचे जास्तीत जास्त ऑबझर्व्ह करते पालक टमाटे",Marathi,Female,WIKI,26.337,MarathiRasaFemale,7
1982,MAR_F_CONV_01982,बरं झालं आज इथं मी तुला भेटलो.,Marathi,Female,CONV,2.923,MarathiRasaFemale,8
1522,MAR_F_WIKI_00057,वन गुडऐवजी सिग्नोरवेयर मिळाला.,Marathi,Female,WIKI,3.203,MarathiRasaFemale,9
245,MAR_M_WIKI_02016,त्यांनी थँक यू जिजाजी ही नवी बावन्न भागांची विनोदी मालिका देखील सोनीची कौटुंबिक मनोरंजन वाहिनी सब टीव्हीसाठी सुरू केली.,Marathi,Male,WIKI,9.888,MarathiRasaMale,10
151,MAR_M_WIKI_00704,कोविड नाईन्टीन मुळे उद्भवलेल्या सर्व मुद्यांवर तसेच जीवनावश्यक वस्तूंचा सीमापार पुरवठा सुलभ करण्यासाठी दोन्ही देशातील तज्ञ आणि अधिकारी एकमेकांशी बारकाईने विचारविनिमय करून समन्वय साधतील यावर उभय नेत्यांनी सहमती दर्शवली.,Marathi,Male,WIKI,16.215,MarathiRasaMale,11
826,MAR_M_WIKI_02375,"ज्याने पूर्वी, ती 'धाडसी चित्रपटांची नायिका' होती म्हणून तिच्या विरुद्ध सच्चा झुठाला नकार दिला होता, त्या शशी कपूरने तिच्यासोबत 'चोर मचाये शोर'मध्ये अभिनय केला.",Marathi,Male,WIKI,13.67,MarathiRasaMale,12
1082,MAR_M_NEWS_00754,भारतीय स्त्रीशक्ती संघटनेनं शहरात सार्वजनिक ठिकाणी महिला आणि पुरुषांसाठी स्वच्छतागृहं असावीत यासाठी प्रबोधन अभियान सुरु केलं आहे .,Marathi,Male,NEWS,10.645,MarathiRasaMale,13
86,MAR_M_CONV_00840,मला ऑनलाइन व्यवहार आणि घोटाळ्यांबद्दल थोडी काळजी वाटते.,Marathi,Male,CONV,4.327,MarathiRasaMale,14
